,Large Growth,Large Value,Small Growth,Small Value,MLPs,REITs,Foreign Growth,Foreign Value,Emerging Markets,High Yield,ST Inv Grade,Int Inv Grade,LT Inv Grade,TIPS,ST Treasury,Int Treasury,LT Treasury
,VIGRX,VIVAX,VISGX,VISVX,AMLP,VGISX,VWIGX,VTRIX,VEIEX,VWEHX,VFSTX,VFICX,VWESX,VIPSX,VFISX,VFITX,VUSTX
,Vanguard Index Trust Growth Index Fund,Vanguard Index Trust Value Index Fund,Vanguard Index Trust Small-Cap Growth Index Fund,Vanguard Index Trust Small-Cap Value Index Fund,Alerian MLP ETF,Virtus Duff & Phelps Global Real Estate Securities Fund I,Vanguard International Growth Fund,Vanguard International Value Fund,Vanguard Emerging Markets Stock Index Fund,Vanguard High Yield Corporate Fund,Vanguard Short-Term Investment Grade Fund Investor Shrs,Vanguard Intermediate-Term Investment Grade Fund Investor Shrs,Vanguard Long-Term Investment Grade Fund Investor Shrs,Vanguard Inflation Protected Securities Fund,Vanguard Short-Term Treasury Fund,Vanguard Intermediate-Term Treasury Fund,Vanguard Long-Term Treasury Fund
3/14/90,,,,,,,-0.60817003,-0.19487143,,0.14084578,0.09735823,,0,,,,0.9698272
3/15/90,,,,,,,0.87412596,0.78099966,,0,0,,0.25413036,,,,-0.10672808
3/16/90,,,,,,,-0.08665919,-0.032287836,,-0.2812922,0.09727478,,0.38022995,,,,0.7478714
3/19/90,,,,,,,-1.1274934,-0.6459892,,0,0,,0,,,,-0.21209121
3/20/90,,,,,,,-1.05263,-1.1053324,,0,0,,0.37878752,,,,0.95642805
3/21/90,,,,,,,0.08865595,0.23010969,,0.14103651,0,,0.12578964,,,,-0.21052957
3/22/90,,,,,,,-1.3286054,-0.88554025,,0.14084578,0.09717941,,0,,,,-0.10547638
3/23/90,,,,,,,0.8078933,0.39708614,,0,0.097084045,,0,,,,0
3/26/90,,,,,,,1.6028523,1.219511,,0.14064312,0,,0.12562275,,,,0.21119118
3/27/90,,,,,,,-0.26292205,-0.29305816,,0,-0.09699464,,-0.12546778,,,,-0.10537505
3/28/90,,,,,,,-0.35149455,-2.0574808,,0.14045238,0.097084045,,0,,,,0
3/29/90,,,,,,,1.4109373,1.0336757,,0.14024973,-0.09699464,,-0.37688613,,,,-0.94935894
3/30/90,,,,,,,-0.95651746,-0.16501546,,0,-0.097090006,,-0.6305158,,,,-0.53248405
4/02/90,,,,,,,-2.8972805,-2.181816,,0,0,,-0.12690425,,,,0
4/03/90,,,,,,,1.9891381,1.3180137,,0.140059,0,,0.12706518,,,,0.107073784
4/04/90,,,,,,,0.26596785,-0.10006428,,0,0.09717941,,0.2538085,,,,0.7486582
4/05/90,,,,,,,0.79574585,-0.26711226,,0,0.097084045,,0.3797412,,,,0
4/06/90,,,,,,,0.96491575,1.3391376,,0,0,,0,,,,0
4/09/90,,,,,,,0.69504976,0.5946517,,-0.1398623,0,,-0.25220513,,,,-0.31846762
4/10/90,,,,,,,-0.6039679,-0.45977235,,0,0,,0,,,,-0.10650158
4/11/90,,,,,,,0.5208254,0.46190023,,0,0,,-0.12642145,,,,-0.10661483
4/12/90,,,,,,,0.43177605,0.3612399,,0,-0.09699464,,-0.12658238,,,,-0.32016635
4/16/90,,,,,,,-1.031816,-1.0798454,,-0.14005303,-0.097090006,,-0.12673736,,,,-0.3211975
4/17/90,,,,,,,0.17375946,0.36387444,,-0.14025569,-0.09718537,,-0.63452125,,,,-0.8593023
4/18/90,,,,,,,0.8673072,0.62624216,,-0.14044642,-0.09726882,,-0.6385684,,,,-0.9750724
4/19/90,,,,,,,0.08598566,0,,0,-0.09737611,,-0.25706887,,,,-0.109410286
4/20/90,,,,,,,-0.085914135,-0.032752752,,0,0,,-0.25773644,,,,-0.43811798
4/23/90,,,,,,,-1.1178017,-1.3761461,,0,-0.097465515,,-0.38759112,,,,-0.4400432
4/24/90,,,,,,,-0.782609,-0.16611814,,0,-0.09756088,,-0.12970567,,,,-0.11050105
4/25/90,,,,,,,0.43821335,0.6988406,,0,0,,0,,,,0.11062622
4/26/90,,,,,,,-0.26177764,-0.19828081,,-0.2812922,-0.19530654,,-0.38960576,,,,-0.5524874
4/27/90,,,,,,,0,-0.33112764,,0,0.097835064,,-0.1303792,,,,-0.11111498
4/30/90,,,,,,,-0.262475,-0.365448,,-0.14104843,0,,0,,,,0.3337145
5/01/90,,,,,,,0.26316643,0.20006895,,-0.14123917,-0.09774566,,0,,,,-0.11086464
5/02/90,,,,,,,0.3499508,0.4326105,,-0.28288364,-0.097846985,,-0.1305461,,,,-0.11098981
5/03/90,,,,,,,0.9590149,0.5964279,,0,0.09794235,,0.2614379,,,,0.444448
5/04/90,,,,,,,1.1226296,1.1198997,,0.14183521,0.39138794,,1.0430217,,,,1.4380574
5/07/90,,,,,,,1.2809515,0.87947845,,0,-0.097465515,,0.25806427,,,,-0.327152
5/08/90,,,,,,,0.08431673,0.09686947,,0,0.19512177,,0,,,,0.32821894
5/09/90,,,,,,,0.84246397,0.7741928,,0,-0.09737611,,-0.386101,,,,-0.65431
5/10/90,,,,,,,0.33416748,0.096035,,0,0.19493103,,0.5167961,,,,0.6586194
5/11/90,,,,,,,1.2489557,0.8314729,,0.28328896,0.19456148,,1.2853503,,,,1.308608
5/14/90,,,,,,,0.57564974,0.57088137,,0,0.097084045,,0.507617,,,,0.7534981
5/15/90,,,,,,,-0.16352534,-0.031530857,,0,0,,-0.252527,,,,-0.42734742
5/16/90,,,,,,,-0.2456963,-0.06309152,,0.14125109,0,,0,,,,-0.21458864
5/17/90,,,,,,,0.32840967,0.37878752,,-0.14104843,-0.09699464,,0,,,,0.10752678
5/18/90,,,,,,,-0.08183718,-0.15723109,,0,-0.097090006,,-0.50632954,,,,-0.75188875
5/21/90,,,,,,,-0.8190036,-0.7559061,,0.28249025,0,,0,,,,0.108230114
5/22/90,,,,,,,0.90835094,0.5712509,,0.28169155,0.09717941,,0.6361246,,,,0.7567525
5/23/90,,,,,,,0,0.22089481,,0.28089285,0.097084045,,0.37926435,,,,0.32190084
5/24/90,,,,,,,0.08182526,-0.09446144,,0,0,,-0.25188923,,,,-0.106954575
5/25/90,,,,,,,0.1635313,0.53577423,,-0.14005303,-0.09699464,,-0.50504804,,,,-0.74946284
5/29/90,,,,,,,0.32652617,0.5015731,,0,0.097084045,,0.2538085,,,,0.32361746
5/30/90,,,,,,,0.24409294,0.4678607,,0.14024973,0.09698868,,0.3797412,,,,0.32258034
5/31/90,,,,,,,-0.32467246,-0.2173245,,0.42016506,0,,0.1261115,,,,0.32154322
6/01/90,,,,,,,0.24430752,0,,0.13946295,0.29070377,,1.3853908,,,,1.1752248
6/04/90,,,,,,,0.08122921,0,,-0.13927221,0,,0,,,,0.42238235
6/05/90,,,,,,,0.89286566,0.4667163,,0.13946295,0,,-0.124228,,,,-0.31546354
6/06/90,,,,,,,-0.5631566,0.0928998,,0.13928413,-0.09661913,,-0.12438297,,,,0
6/07/90,,,,,,,0,0.09281635,,0.13908148,0,,0.124537945,,,,0.1054883
