Date,GSCI Energy,GSCI Ind Metals,GSCI Precious Metals,GSCI Agriculture,GSCI Livestock
19900514,318.3704,485.0079,438.7786,885.4936,2569.792
19900515,319.0644,481.3166,440.6887,879.3732,2571.949
19900516,316.2096,482.6857,438.964,880.4957,2618.071
19900517,317.1558,484.8992,440.31,882.3113,2631.926
19900518,316.0333,484.7925,447.6909,874.796,2651.658
19900521,310.9894,479.1934,445.891,873.9261,2661.289
19900522,310.3496,490.7018,449.5255,874.1403,2649.395
19900523,302.8634,486.1612,437.7436,871.8129,2605.652
19900524,302.4979,492.6052,440.0933,877.5157,2609.453
19900525,300.9242,487.2177,442.1464,879.4246,2621.383
19900528,300.9242,487.2177,442.1464,879.4246,2621.383
19900529,306.4181,476.0087,440.1866,877.9541,2650.068
19900530,308.7058,471.8817,436.1351,868.8693,2620.01
19900531,298.8018,469.2341,436.0144,866.2147,2598.581
19900601,297.723,473.3582,430.5817,857.3041,2612.869
19900604,291.6608,470.9157,429.7459,859.2145,2624.895
19900605,284.878,479.279,431.8132,863.785,2655.088
19900606,287.7792,475.1448,428.9389,864.5585,2648.565
19900607,284.24,475.4592,426.033,872.0449,2627.202
19900608,283.9028,474.3228,427.2199,864.5044,2623.157
19900611,281.9856,466.8825,427.5284,870.2046,2646.938
19900612,292.8749,471.8755,427.6273,870.0644,2635.264
19900613,295.0632,468.3226,422.1167,866.694,2642.152
19900614,293.3322,471.4851,415.6036,852.7579,2604.083
19900615,292.4099,473.7742,418.2226,850.7336,2576.607
19900618,292.4099,473.7742,418.2226,850.7336,2576.607
19900619,284.2214,480.7517,418.2492,861.0227,2589.111
19900620,284.4624,470.3479,420.5196,862.5642,2582.755
19900621,286.1006,475.7053,420.2469,864.5194,2574.713
19900622,293.4036,477.9988,419.7619,856.8692,2575.81
19900625,295.2326,470.8588,423.453,865.6432,2586.216
19900626,291.1936,468.5503,420.4122,863.2073,2586.248
19900627,284.7512,473.6955,420.7828,865.9015,2595.724
19900628,290.5656,497.045,422.1564,867.2222,2585.257
19900629,288.5245,500.2244,428.4911,868.9876,2582.884
19900702,287.1004,495.7232,430.0374,881.4378,2596.795
19900703,286.5128,496.7089,432.8307,882.6863,2587.751
19900704,286.5128,496.7089,432.8307,882.6863,2587.751
19900705,282.4486,509.8829,431.5965,867.5322,2611.777
19900706,283.0612,519.4398,431.0996,844.4602,2599.464
19900709,287.334,516.0408,428.1873,834.2425,2597.758
19900710,291.8384,513.5154,425.6229,835.4693,2599.282
19900711,297.664,536.7197,423.4305,831.1046,2605.359
19900712,311.4362,545.8559,427.024,833.4978,2624.524
19900713,317.0214,541.1352,433.9127,836.0378,2644.382
19900716,327.2117,537.308,431.8407,823.6641,2675.227
19900717,328.513,528.6146,430.0759,815.5182,2668.095
19900718,325.5495,525.644,430.2449,812.3238,2640.183
19900719,328.0264,519.5878,430.014,812.4175,2622.657
19900720,328.5996,528.0722,429.7465,805.1083,2646.731
19900723,333.716,525.3241,438.0215,808.482,2627.793
19900724,335.5457,531.1684,435.7058,809.6183,2649.845
19900725,333.3599,536.7946,439.7929,808.8948,2693.007
19900726,335.6293,542.4232,436.9051,813.6484,2688.685
19900727,332.3269,555.7777,435.1469,809.0928,2684.124
19900730,335.6539,545.7498,435.3764,802.0839,2699.961
19900731,340.1806,550.5027,438.9743,797.512,2727.563
19900801,353.6171,569.3956,442.291,778.8816,2690.211
19900802,376.3945,569.7364,445.2389,776.7158,2652.12
19900803,395.8822,554.8283,445.4535,768.9105,2631.693
19900806,450.5643,558.9379,452.8785,780.7971,2631.486
19900807,453.2593,563.2537,451.4018,780.4849,2635.362
19900808,418.8352,579.0785,450.0489,780.0832,2611.563
19900809,416.3753,582.1876,453.1979,784.9723,2607.399
